Bedrooms,Property Type,Location,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
1 to 2 bed,Detached house,Donegal Town,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1 to 2 bed,Detached house,"Ballybofey, Donegal",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1 to 2 bed,Detached house,"Buncrana, Donegal",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1 to 2 bed,Detached house,"Bundoran, Donegal",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1 to 2 bed,Detached house,"Carndonagh, Donegal",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1 to 2 bed,Detached house,"Letterkenny, Donegal",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,450.21,-1
1 to 2 bed,Detached house,"Lifford, Donegal",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1 to 2 bed,Detached house,"Stranorlar, Donegal",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1 to 2 bed,Semi detached house,Donegal,484.7,449.24,423.07,406.85,378.33,389.12,396.4,397.88,412.98,445.39,476.16,483.82
1 to 2 bed,Semi detached house,Donegal Town,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1 to 2 bed,Semi detached house,"Ballybofey, Donegal",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1 to 2 bed,Semi detached house,"Buncrana, Donegal",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1 to 2 bed,Semi detached house,"Bundoran, Donegal",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1 to 2 bed,Semi detached house,"Carndonagh, Donegal",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1 to 2 bed,Semi detached house,"Letterkenny, Donegal",-1,450.26,422.94,-1,-1,-1,-1,-1,-1,-1,-1,-1
1 to 2 bed,Semi detached house,"Lifford, Donegal",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1 to 2 bed,Semi detached house,"Stranorlar, Donegal",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1 to 2 bed,Terrace house,Donegal,485.05,482.49,448.48,420.18,405.17,377.57,368.1,380.69,417.75,446.22,449.56,443.97
1 to 2 bed,Terrace house,Donegal Town,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1 to 2 bed,Terrace house,"Ballybofey, Donegal",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1 to 2 bed,Terrace house,"Buncrana, Donegal",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1 to 2 bed,Terrace house,"Bundoran, Donegal",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1 to 2 bed,Terrace house,"Carndonagh, Donegal",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1 to 2 bed,Terrace house,"Letterkenny, Donegal",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1 to 2 bed,Terrace house,"Lifford, Donegal",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1 to 2 bed,Terrace house,"Stranorlar, Donegal",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1 to 2 bed,Apartment,Donegal,508.88,478.62,445.99,403.89,405.38,385.77,388.38,406.86,437.79,476.9,487.37,508.04
1 to 2 bed,Apartment,Donegal Town,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1 to 2 bed,Apartment,"Ballybofey, Donegal",-1,-1,-1,-1,-1,-1,-1,351,-1,-1,471.31,496.48
1 to 2 bed,Apartment,"Buncrana, Donegal",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1 to 2 bed,Apartment,"Bundoran, Donegal",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1 to 2 bed,Apartment,"Carndonagh, Donegal",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1 to 2 bed,Apartment,"Letterkenny, Donegal",492.83,484.33,443.87,392.11,408.67,384.72,391.53,413.34,449.58,499.64,519.75,540.84
1 to 2 bed,Apartment,"Lifford, Donegal",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1 to 2 bed,Apartment,"Stranorlar, Donegal",-1,-1,-1,-1,-1,405.55,384.29,389.48,408.25,-1,-1,-1
1 to 2 bed,Other flats,Donegal,391.95,372.67,372.14,354.26,324.64,316.85,318.41,338.48,378.33,387.32,391.08,421.9
1 to 2 bed,Other flats,Donegal Town,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1 to 2 bed,Other flats,"Ballybofey, Donegal",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1 to 2 bed,Other flats,"Buncrana, Donegal",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1 to 2 bed,Other flats,"Bundoran, Donegal",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1 to 2 bed,Other flats,"Carndonagh, Donegal",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1 to 2 bed,Other flats,"Letterkenny, Donegal",-1,-1,-1,-1,326.44,312.88,330.3,352.9,396.5,430.65,426.51,477.46
1 to 2 bed,Other flats,"Lifford, Donegal",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1 to 2 bed,Other flats,"Stranorlar, Donegal",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1 to 3 bed,All property types,Donegal,545.96,519.71,489.47,456.5,439.77,419.12,417.96,434.55,460.31,490.87,510.94,533.22
1 to 3 bed,All property types,Donegal Town,658.85,591.22,508.43,485.35,462.5,446.03,426.87,431.05,465.88,482.56,501.57,524.89
1 to 3 bed,All property types,"Ballybofey, Donegal",555.5,532.95,520.28,483.53,452.92,423.42,412.26,423.43,443.16,466.84,495.97,511.31
1 to 3 bed,All property types,"Buncrana, Donegal",525.82,512.25,498.71,460.63,417.62,404.93,402.48,426.92,449.25,455.66,468.51,497.67
1 to 3 bed,All property types,"Bundoran, Donegal",-1,-1,493.23,459.76,433.77,413.06,421.95,413.66,427.85,446.7,482.46,487.69
1 to 3 bed,All property types,"Carndonagh, Donegal",491.88,456.25,451.03,424.96,391.23,363.75,359.49,377.32,382.12,392.21,419.68,441.8
1 to 3 bed,All property types,"Letterkenny, Donegal",553.46,534.09,499.27,461.81,452.22,423.85,431.16,452.01,489.81,533.7,559.48,585.28
1 to 3 bed,All property types,"Lifford, Donegal",530.29,511.65,479.86,446.69,435.27,413.62,396.82,403.1,419.77,432.89,442.95,448.25
1 to 3 bed,All property types,"Stranorlar, Donegal",567.98,536.71,512.1,484.7,446.34,418.51,398.53,405.43,420.97,472.56,453.21,525.07
1 to 3 bed,Detached house,Donegal,545.08,508.44,483.96,464.56,448.4,428.9,413.64,425.66,439.05,470.64,488.88,500.06
1 to 3 bed,Detached house,Donegal Town,-1,-1,-1,503.71,488.89,463.44,446.93,438.8,433.24,459.44,499.57,524.99
1 to 3 bed,Detached house,"Ballybofey, Donegal",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1 to 3 bed,Detached house,"Buncrana, Donegal",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1 to 3 bed,Detached house,"Bundoran, Donegal",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1 to 3 bed,Detached house,"Carndonagh, Donegal",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1 to 3 bed,Detached house,"Letterkenny, Donegal",569.76,536.32,506.96,460.78,452.92,446.74,438.47,451.76,472.51,530.46,552.22,545.73
1 to 3 bed,Detached house,"Lifford, Donegal",-1,-1,-1,-1,-1,-1,-1,409.47,421.24,424.34,428.25,428.21
1 to 3 bed,Detached house,"Stranorlar, Donegal",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1 to 3 bed,Semi detached house,Donegal,584.6,550.89,516.99,485.28,455.56,441.16,445.26,464.64,497.99,523.95,551.55,577.38
1 to 3 bed,Semi detached house,Donegal Town,-1,-1,-1,487.76,457.52,448.8,440.44,446.4,503.77,539.8,524.32,-1
1 to 3 bed,Semi detached house,"Ballybofey, Donegal",589.8,572.29,542.48,498.95,473.09,455.21,459.86,466.38,492.38,518.14,532.86,548.86
1 to 3 bed,Semi detached house,"Buncrana, Donegal",-1,545.45,517.46,484.41,432.22,419.29,428.86,465.57,478.53,477.94,501.52,531.05
1 to 3 bed,Semi detached house,"Bundoran, Donegal",-1,-1,-1,467.47,447.93,424.09,432.13,420.73,-1,-1,-1,-1
1 to 3 bed,Semi detached house,"Carndonagh, Donegal",-1,-1,-1,-1,-1,377.68,383.81,-1,405.83,408.66,-1,-1
1 to 3 bed,Semi detached house,"Letterkenny, Donegal",601.01,563.78,532.48,502.76,467.03,452.93,463.65,488.32,534.79,567.06,595.21,626.86
1 to 3 bed,Semi detached house,"Lifford, Donegal",-1,-1,-1,-1,-1,437.31,425.28,435.76,-1,-1,483.67,-1
1 to 3 bed,Semi detached house,"Stranorlar, Donegal",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1 to 3 bed,Terrace house,Donegal,537.23,518.97,497.02,457.14,430.52,420.61,422.48,430.4,446.29,469.66,491.54,513.22
1 to 3 bed,Terrace house,Donegal Town,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1 to 3 bed,Terrace house,"Ballybofey, Donegal",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1 to 3 bed,Terrace house,"Buncrana, Donegal",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1 to 3 bed,Terrace house,"Bundoran, Donegal",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1 to 3 bed,Terrace house,"Carndonagh, Donegal",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1 to 3 bed,Terrace house,"Letterkenny, Donegal",544.99,547.59,520.06,489.63,456.43,440.27,445.61,468.07,511.24,544.1,555.62,581.46
1 to 3 bed,Terrace house,"Lifford, Donegal",-1,-1,-1,-1,-1,-1,-1,-1,392.68,-1,-1,-1
1 to 3 bed,Terrace house,"Stranorlar, Donegal",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1 to 3 bed,Apartment,Donegal,513.24,483.12,452.68,415.25,433.08,395.41,397.49,417.48,443.52,482.23,494.37,519.16
1 to 3 bed,Apartment,Donegal Town,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1 to 3 bed,Apartment,"Ballybofey, Donegal",-1,-1,-1,-1,-1,-1,341.2,356.97,377.23,392.79,470.86,499.63
1 to 3 bed,Apartment,"Buncrana, Donegal",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1 to 3 bed,Apartment,"Bundoran, Donegal",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1 to 3 bed,Apartment,"Carndonagh, Donegal",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1 to 3 bed,Apartment,"Letterkenny, Donegal",500.52,490.52,453.78,408.08,447.57,394.82,400.65,419.27,452.49,505.07,529.79,556.14
1 to 3 bed,Apartment,"Lifford, Donegal",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1 to 3 bed,Apartment,"Stranorlar, Donegal",-1,-1,-1,-1,-1,405.55,384.29,389.48,408.25,-1,-1,-1
1 to 3 bed,Other flats,Donegal,395.58,371.49,382.78,358.99,327.65,322.48,323.05,343.05,383.71,395.3,401.59,432.21
1 to 3 bed,Other flats,Donegal Town,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1 to 3 bed,Other flats,"Ballybofey, Donegal",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1 to 3 bed,Other flats,"Buncrana, Donegal",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1 to 3 bed,Other flats,"Bundoran, Donegal",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1 to 3 bed,Other flats,"Carndonagh, Donegal",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1 to 3 bed,Other flats,"Letterkenny, Donegal",-1,-1,-1,-1,330.3,322.52,333.94,355.71,402.67,442.8,443.3,494.36
1 to 3 bed,Other flats,"Lifford, Donegal",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1 to 3 bed,Other flats,"Stranorlar, Donegal",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Four plus bed,All property types,Donegal,646.12,612.76,578.53,545.93,521.3,511.59,515.36,529.95,552.77,579.11,602.18,633.89
Four plus bed,All property types,Donegal Town,745,661.41,581.93,578.46,544.08,519,529.97,541.9,541.73,574.68,583.25,573.25
Four plus bed,All property types,"Ballybofey, Donegal",646.71,630.3,594.22,561.35,533.29,500.43,496.49,521.7,537.33,551.24,576.14,603.13
Four plus bed,All property types,"Buncrana, Donegal",618.17,577.06,528.09,526.29,504.9,508.52,490.87,481.26,496.28,564.51,582.65,581.56
Four plus bed,All property types,"Bundoran, Donegal",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Four plus bed,All property types,"Carndonagh, Donegal",-1,-1,-1,-1,-1,-1,-1,465.8,-1,-1,-1,-1
Four plus bed,All property types,"Letterkenny, Donegal",655.25,625.11,592.19,557.42,526.33,515.75,536.78,556.62,584.96,628.73,659.82,697.67
Four plus bed,All property types,"Lifford, Donegal",-1,-1,-1,-1,-1,-1,486.97,520.79,543.97,538.58,-1,-1
Four plus bed,All property types,"Stranorlar, Donegal",-1,-1,-1,-1,-1,-1,-1,-1,-1,515.36,545.96,-1
Four plus bed,Detached house,Donegal,677.84,634.67,587.35,557.15,539.22,528.78,528.22,544.55,562.9,586,612.08,642.42
Four plus bed,Detached house,Donegal Town,-1,-1,-1,586.28,570.58,532.06,532.56,561.7,554.36,578.32,589.75,-1
Four plus bed,Detached house,"Ballybofey, Donegal",-1,635.22,597.18,585.16,-1,-1,-1,-1,556.71,574.29,599.25,621.32
Four plus bed,Detached house,"Buncrana, Donegal",-1,-1,-1,-1,533.19,536.04,-1,-1,532.73,602.74,-1,-1
Four plus bed,Detached house,"Bundoran, Donegal",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Four plus bed,Detached house,"Carndonagh, Donegal",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Four plus bed,Detached house,"Letterkenny, Donegal",732.25,644.01,612.72,577.13,545.97,544.63,562.43,584.8,599.49,649.26,693.33,746.16
Four plus bed,Detached house,"Lifford, Donegal",-1,-1,-1,-1,-1,-1,-1,-1,550.14,-1,-1,-1
Four plus bed,Detached house,"Stranorlar, Donegal",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Four plus bed,Semi detached house,Donegal,638.16,605.53,578.95,536.82,506.09,497.76,508.91,515.87,547.81,579.34,597.79,631.2
Four plus bed,Semi detached house,Donegal Town,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Four plus bed,Semi detached house,"Ballybofey, Donegal",-1,625.49,590.91,541.74,506.21,479.72,479.3,516.8,531.08,533.45,553.04,-1
Four plus bed,Semi detached house,"Buncrana, Donegal",-1,563.78,525.49,509.48,478.04,-1,476.22,462.05,475.07,534.82,544.98,-1
Four plus bed,Semi detached house,"Bundoran, Donegal",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Four plus bed,Semi detached house,"Carndonagh, Donegal",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Four plus bed,Semi detached house,"Letterkenny, Donegal",653.91,627.98,592.4,548.24,520.84,504.94,529.47,542.02,586.01,623.32,645.34,675.89
Four plus bed,Semi detached house,"Lifford, Donegal",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Four plus bed,Semi detached house,"Stranorlar, Donegal",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Four plus bed,Terrace house,Donegal,-1,-1,-1,-1,-1,-1,449.74,516.01,523.23,497.93,532.75,-1
Four plus bed,Terrace house,Donegal Town,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Four plus bed,Terrace house,"Ballybofey, Donegal",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Four plus bed,Terrace house,"Buncrana, Donegal",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Four plus bed,Terrace house,"Bundoran, Donegal",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Four plus bed,Terrace house,"Carndonagh, Donegal",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Four plus bed,Terrace house,"Letterkenny, Donegal",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Four plus bed,Terrace house,"Lifford, Donegal",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Four plus bed,Terrace house,"Stranorlar, Donegal",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Four plus bed,Apartment,Donegal,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Four plus bed,Apartment,Donegal Town,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Four plus bed,Apartment,"Ballybofey, Donegal",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Four plus bed,Apartment,"Buncrana, Donegal",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Four plus bed,Apartment,"Bundoran, Donegal",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Four plus bed,Apartment,"Carndonagh, Donegal",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Four plus bed,Apartment,"Letterkenny, Donegal",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Four plus bed,Apartment,"Lifford, Donegal",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Four plus bed,Apartment,"Stranorlar, Donegal",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Four plus bed,Other flats,Donegal,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Four plus bed,Other flats,Donegal Town,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Four plus bed,Other flats,"Ballybofey, Donegal",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Four plus bed,Other flats,"Buncrana, Donegal",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Four plus bed,Other flats,"Bundoran, Donegal",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Four plus bed,Other flats,"Carndonagh, Donegal",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Four plus bed,Other flats,"Letterkenny, Donegal",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Four plus bed,Other flats,"Lifford, Donegal",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Four plus bed,Other flats,"Stranorlar, Donegal",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
